window,year,round,pick,pick_seed,opp_seed,model_p,ml,ml_opp,spread,margin,correct,covered,push
all_prior,2009,R64,North Carolina,1,16,1.0,-12000,8000,-25.5,43,True,True,False
all_prior,2009,R64,LSU,8,9,0.6666666666666666,-130,110,-1.5,4,True,True,False
all_prior,2009,R64,Illinois,5,12,0.9333333333333333,-210,175,-5.0,-4,False,False,False
all_prior,2009,R64,Gonzaga,4,13,0.8666666666666667,-1100,840,-14.0,13,True,False,False
all_prior,2009,R64,Temple,11,6,0.7333333333333334,185,-225,5.0,-9,False,False,False
all_prior,2009,R64,Syracuse,3,14,0.6,-670,510,-11.0,15,True,True,False
all_prior,2009,R64,Clemson,7,10,0.9333333333333333,-200,170,-4.5,-3,False,False,False
all_prior,2009,R64,Oklahoma,2,15,0.6,-1500,1040,-15.5,28,True,True,False
all_prior,2009,R32,North Carolina,1,8,0.8666666666666667,-1200,800,-13.0,14,True,True,False
all_prior,2009,R32,Gonzaga,4,12,0.7333333333333333,-750,550,-11.5,2,True,False,False
all_prior,2009,R32,Arizona St.,6,3,0.6,125,-145,2.5,-11,False,False,False
all_prior,2009,R32,Oklahoma,2,10,0.8,-345,285,-7.0,10,True,True,False
all_prior,2009,S16,North Carolina,1,4,0.8666666666666667,-360,300,-7.5,21,True,True,False
all_prior,2009,S16,Oklahoma,2,3,0.8,-110,-110,1.0,13,True,True,False
all_prior,2009,E8,North Carolina,1,2,0.9333333333333333,-350,290,-7.0,12,True,True,False
all_prior,2009,R64,Pittsburgh,1,16,0.6,-7000,4000,-20.5,10,True,False,False
all_prior,2009,R64,Oklahoma St.,8,9,0.5333333333333333,130,-150,3.0,2,True,True,False
all_prior,2009,R64,Florida St.,5,12,0.5333333333333333,-155,135,-3.0,-2,False,False,False
all_prior,2009,R64,Xavier,4,13,0.7333333333333333,-600,450,-10.0,18,True,True,False
all_prior,2009,R64,UCLA,6,11,0.8,-380,310,-8.5,1,True,False,False
all_prior,2009,R64,Villanova,3,14,0.7333333333333333,-1500,1050,-15.0,13,True,False,False
all_prior,2009,R64,Texas,7,10,0.8,-190,165,-4.5,14,True,True,False
all_prior,2009,R64,Duke,2,15,1.0,-6000,4100,-24.0,24,True,False,True
all_prior,2009,R32,Pittsburgh,1,8,0.6666666666666666,-500,350,-9.0,8,True,False,False
all_prior,2009,R32,Xavier,4,12,0.8,-145,125,-2.5,11,True,True,False
all_prior,2009,R32,Villanova,3,6,0.5333333333333333,-150,130,-2.5,20,True,True,False
all_prior,2009,R32,Duke,2,7,0.7333333333333333,-355,295,-7.5,5,True,False,False
all_prior,2009,S16,Pittsburgh,1,4,0.8,-300,250,-6.5,5,True,False,False
all_prior,2009,S16,Duke,2,3,0.8666666666666667,-140,120,-2.5,-23,False,False,False
all_prior,2009,E8,Pittsburgh,1,3,0.8666666666666667,-135,115,-2.0,-2,False,False,False
all_prior,2009,R64,Connecticut,1,16,0.8666666666666667,-3500,2100,-20.5,56,True,True,False
all_prior,2009,R64,BYU,8,9,0.6666666666666666,-150,130,-3.0,-13,False,False,False
all_prior,2009,R64,Purdue,5,12,0.9333333333333333,-420,330,-8.5,5,True,False,False
all_prior,2009,R64,Washington,4,13,0.7333333333333333,-250,210,-6.0,13,True,True,False
all_prior,2009,R64,Marquette,6,11,1.0,-265,225,-6.0,1,True,False,False
all_prior,2009,R64,Missouri,3,14,0.9333333333333333,-1100,775,-12.5,19,True,True,False
all_prior,2009,R64,California,7,10,0.5333333333333333,-130,110,-1.0,-13,False,False,False
all_prior,2009,R64,Memphis,2,15,1.0,-5000,3100,-19.5,11,True,False,False
all_prior,2009,R32,Connecticut,1,9,1.0,-600,450,-9.5,26,True,True,False
all_prior,2009,R32,Washington,4,5,0.5333333333333333,-120,100,-1.5,-2,False,False,False
all_prior,2009,R32,Missouri,3,6,0.9333333333333333,-155,135,-3.0,4,True,True,False
all_prior,2009,R32,Memphis,2,10,0.8,-550,425,-10.0,19,True,True,False
all_prior,2009,S16,Purdue,5,1,0.5333333333333333,250,-300,6.5,-12,False,False,False
all_prior,2009,S16,Memphis,2,3,0.8666666666666667,-200,170,-4.0,-11,False,False,False
all_prior,2009,E8,Missouri,3,1,0.5333333333333333,220,-260,6.0,-7,False,False,False
all_prior,2009,R64,Louisville,1,16,1.0,-9000,5000,-21.5,20,True,False,False
all_prior,2009,R64,Ohio St.,8,9,0.6,-138,118,-2.0,-2,False,False,False
all_prior,2009,R64,Utah,5,12,1.0,-120,100,-1.0,-13,False,False,False
all_prior,2009,R64,Wake Forest,4,13,0.8,-355,295,-8.0,-15,False,False,False
all_prior,2009,R64,West Virginia,6,11,0.9333333333333333,-640,470,-10.0,-8,False,False,False
all_prior,2009,R64,Kansas,3,14,1.0,-450,360,-8.5,10,True,True,False
all_prior,2009,R64,USC,10,7,0.6666666666666667,-135,115,-2.0,17,True,True,False
all_prior,2009,R64,Michigan St.,2,15,0.8666666666666667,-1500,1050,-15.0,15,True,False,True
all_prior,2009,R32,Louisville,1,9,1.0,-1100,775,-12.0,7,True,False,False
all_prior,2009,R32,Arizona,12,13,0.9333333333333333,-145,125,-2.5,14,True,True,False
all_prior,2009,R32,Kansas,3,11,0.8,-380,310,-8.0,17,True,True,False
all_prior,2009,R32,Michigan St.,2,10,0.5333333333333333,-185,165,-4.0,5,True,True,False
all_prior,2009,S16,Louisville,1,12,1.0,-520,420,-9.5,39,True,True,False
all_prior,2009,S16,Kansas,3,2,0.5333333333333333,-115,-105,-0.0,-5,False,False,False
all_prior,2009,E8,Louisville,1,2,0.8666666666666667,-325,265,-6.5,-12,False,False,False
all_prior,2009,Championship,North Carolina,1,2,0.8,-370,310,-7.0,17,True,True,False
all_prior,2010,R64,Duke,1,16,0.78,-20000,10500,-24.5,29,True,True,False
all_prior,2010,R64,California,8,9,0.78,-118,-102,-1.0,15,True,True,False
all_prior,2010,R64,Texas A&M,5,12,0.66,-158,138,-3.0,16,True,True,False
all_prior,2010,R64,Purdue,4,13,0.68,-215,178,-4.5,8,True,True,False
all_prior,2010,R64,Notre Dame,6,11,0.6,-135,115,-2.0,-1,False,False,False
all_prior,2010,R64,Baylor,3,14,0.6,-550,425,-10.0,9,True,False,False
all_prior,2010,R64,Saint Mary's,10,7,0.52,100,-120,1.5,9,True,True,False
all_prior,2010,R64,Villanova,2,15,0.88,-3000,2000,-16.5,3,True,False,False
all_prior,2010,R32,Duke,1,8,0.92,-290,245,-6.5,15,True,True,False
all_prior,2010,R32,Purdue,4,5,0.84,115,-135,2.5,2,True,True,False
all_prior,2010,R32,Baylor,3,11,0.6,-205,173,-4.5,8,True,True,False
all_prior,2010,R32,Villanova,2,10,0.76,-215,178,-4.5,-7,False,False,False
all_prior,2010,S16,Duke,1,4,0.88,-450,350,-8.5,13,True,True,False
all_prior,2010,S16,Baylor,3,10,0.58,-230,190,-5.0,23,True,True,False
all_prior,2010,E8,Duke,1,3,0.8,-235,195,-4.5,7,True,True,False
all_prior,2010,R64,Kentucky,1,16,0.78,-6000,3500,-18.5,29,True,True,False
all_prior,2010,R64,Texas,8,9,0.84,-245,205,-5.5,-1,False,False,False
all_prior,2010,R64,Temple,5,12,0.82,-165,145,-3.0,-13,False,False,False
all_prior,2010,R64,Wisconsin,4,13,0.72,-700,500,-10.5,4,True,False,False
all_prior,2010,R64,Washington,11,6,0.52,-102,-118,1.0,2,True,True,False
all_prior,2010,R64,New Mexico,3,14,0.82,-440,350,-8.5,5,True,False,False
all_prior,2010,R64,Clemson,7,10,0.74,-132,112,-2.0,-8,False,False,False
all_prior,2010,R64,West Virginia,2,15,0.78,-2700,1700,-16.5,27,True,True,False
all_prior,2010,R32,Kentucky,1,9,0.76,-600,450,-9.5,30,True,True,False
all_prior,2010,R32,Wisconsin,4,12,0.88,-200,170,-4.0,-18,False,False,False
all_prior,2010,R32,Washington,11,3,0.52,-135,115,-2.5,18,True,True,False
all_prior,2010,R32,West Virginia,2,10,0.58,-270,230,-6.0,9,True,True,False
all_prior,2010,S16,Kentucky,1,12,0.9,-500,400,-8.5,17,True,True,False
all_prior,2010,S16,West Virginia,2,11,0.52,-192,167,-4.5,13,True,True,False
all_prior,2010,E8,West Virginia,2,1,0.5800000000000001,175,-205,4.5,7,True,True,False
all_prior,2010,R64,Syracuse,1,16,0.94,-2800,1800,-15.5,23,True,True,False
all_prior,2010,R64,Florida St.,9,8,0.62,-118,-102,-1.0,-7,False,False,False
all_prior,2010,R64,UTEP,12,5,0.56,130,-150,2.5,-18,False,False,False
