window,test_year,threshold,placed,won,lost,net_pnl,total_wagered,roi_pct,avg_ml,no_odds
all_prior,2009,-200,47,36,11,-9.13,470.0,-1.9,-1150,1
all_prior,2009,-250,43,33,10,-16.23,430.0,-3.8,-1236,1
all_prior,2009,-300,37,28,9,-16.71,370.0,-4.5,-1348,1
all_prior,2009,-350,37,28,9,-16.71,370.0,-4.5,-1348,1
all_prior,2010,-200,35,26,9,-16.76,350.0,-4.8,-2158,0
all_prior,2010,-250,32,23,9,-32.59,320.0,-10.2,-2338,0
all_prior,2010,-300,29,22,7,-14.02,290.0,-4.8,-2541,0
all_prior,2010,-350,25,20,5,3.31,250.0,1.3,-2868,0
all_prior,2011,-200,40,27,13,-56.15,400.0,-14.0,-2078,0
all_prior,2011,-250,35,24,11,-57.15,350.0,-16.3,-2349,0
all_prior,2011,-300,30,21,9,-57.44,300.0,-19.1,-2703,0
all_prior,2011,-350,26,19,7,-39.37,260.0,-15.1,-2997,0
all_prior,2012,-200,36,29,7,2.06,360.0,0.6,-1510,1
all_prior,2012,-250,29,24,5,2.78,290.0,1.0,-1809,1
all_prior,2012,-300,22,19,3,2.53,220.0,1.2,-2255,0
all_prior,2012,-350,15,14,1,12.5,150.0,8.3,-2530,0
all_prior,2013,-200,42,31,11,-29.52,420.0,-7.0,-1728,0
all_prior,2013,-250,36,26,10,-47.29,360.0,-13.1,-1977,0
all_prior,2013,-300,32,23,9,-40.25,320.0,-12.6,-1993,0
all_prior,2013,-350,22,17,5,-25.31,220.0,-11.5,-2777,0
all_prior,2014,-200,38,28,10,-37.11,380.0,-9.8,-1143,0
all_prior,2014,-250,30,22,8,-35.98,300.0,-12.0,-1344,0
all_prior,2014,-300,22,18,4,-11.21,220.0,-5.1,-1696,0
all_prior,2014,-350,20,17,3,-8.11,200.0,-4.1,-1836,0
all_prior,2015,-200,36,31,5,34.38,360.0,9.5,-2561,0
all_prior,2015,-250,27,24,3,19.84,270.0,7.3,-3318,0
all_prior,2015,-300,24,21,3,11.43,240.0,4.8,-3680,0
all_prior,2015,-350,21,18,3,-2.75,210.0,-1.3,-4162,0
all_prior,2016,-200,36,30,6,26.21,360.0,7.3,-2080,0
