window,test_year,threshold,placed,won,lost,push,net_pnl,total_wagered,roi_pct,spread_bets,ml_bets,real_spread_price,no_odds,no_spread
all_prior,2009,-200,47,22,23,2,-439.38,4700.0,-9.3,33,14,0,1,0
all_prior,2009,-250,43,20,21,2,-441.28,4300.0,-10.3,30,13,0,1,0
all_prior,2009,-300,37,20,15,2,98.88,3700.0,2.7,24,13,0,1,0
all_prior,2009,-350,37,20,15,2,-25.39,3700.0,-0.7,21,16,0,1,0
all_prior,2010,-200,35,19,16,0,111.93,3500.0,3.2,27,8,0,0,0
all_prior,2010,-250,32,17,15,0,-56.82,3200.0,-1.8,21,11,0,0,0
all_prior,2010,-300,29,17,12,0,186.75,2900.0,6.4,18,11,0,0,0
all_prior,2010,-350,25,16,9,0,395.84,2500.0,15.8,16,9,0,0,0
all_prior,2011,-200,40,19,21,0,-460.85,4000.0,-11.5,30,10,0,0,0
all_prior,2011,-250,35,17,18,0,-434.05,3500.0,-12.4,25,10,0,0,0
all_prior,2011,-300,30,14,16,0,-437.01,3000.0,-14.6,22,8,0,0,0
all_prior,2011,-350,26,14,12,0,-37.01,2600.0,-1.4,20,6,0,0,0
all_prior,2012,-200,36,19,17,0,5.45,3600.0,0.2,32,4,0,1,0
all_prior,2012,-250,29,16,13,0,173.64,2900.0,6.0,26,3,0,1,0
all_prior,2012,-300,22,13,9,0,226.0,2200.0,10.3,20,2,0,0,0
all_prior,2012,-350,15,9,6,0,43.1,1500.0,2.9,11,4,0,0,0
all_prior,2013,-200,42,21,21,0,-422.67,4200.0,-10.1,30,12,0,0,0
all_prior,2013,-250,36,16,20,0,-727.2,3600.0,-20.2,27,9,0,0,0
all_prior,2013,-300,32,15,17,0,-518.11,3200.0,-16.2,22,10,0,0,0
all_prior,2013,-350,22,10,12,0,-363.9,2200.0,-16.5,17,5,0,0,0
all_prior,2014,-200,38,19,18,1,-130.02,3800.0,-3.4,31,7,0,0,0
all_prior,2014,-250,30,15,14,1,-135.79,3000.0,-4.5,22,8,0,0,0
all_prior,2014,-300,22,12,9,1,71.64,2200.0,3.3,16,6,0,0,0
all_prior,2014,-350,20,11,8,1,102.68,2000.0,5.1,15,5,0,0,0
all_prior,2015,-200,36,16,20,0,-550.84,3600.0,-15.3,32,4,0,0,0
all_prior,2015,-250,27,13,14,0,-388.83,2700.0,-14.4,21,6,0,0,0
all_prior,2015,-300,24,11,13,0,-482.77,2400.0,-20.1,18,6,0,0,0
all_prior,2015,-350,21,8,13,0,-698.22,2100.0,-33.2,17,4,0,0,0
all_prior,2016,-200,36,23,13,0,713.64,3600.0,19.8,30,6,0,0,0
all_prior,2016,-250,28,18,10,0,555.19,2800.0,19.8,24,4,0,0,0
all_prior,2016,-300,23,16,7,0,461.84,2300.0,20.1,16,7,0,0,0
all_prior,2016,-350,18,12,6,0,305.19,1800.0,17.0,13,5,0,0,0
all_prior,2017,-200,42,19,23,0,-660.99,4200.0,-15.7,33,9,0,0,0
all_prior,2017,-250,34,16,18,0,-480.06,3400.0,-14.1,27,7,0,0,0
all_prior,2017,-300,30,16,14,0,-196.24,3000.0,-6.5,21,9,0,0,0
all_prior,2017,-350,24,12,12,0,-200.45,2400.0,-8.4,18,6,0,0,0
all_prior,2018,-200,39,15,23,1,-969.47,3900.0,-24.9,34,5,0,2,0
all_prior,2018,-250,30,13,16,1,-552.38,3000.0,-18.4,24,6,0,1,0
all_prior,2018,-300,26,12,13,1,-350.28,2600.0,-13.5,20,6,0,1,0
all_prior,2018,-350,25,11,13,1,-458.08,2500.0,-18.3,19,6,0,1,0
all_prior,2019,-200,39,20,19,0,-210.66,3900.0,-5.4,32,7,0,1,0
all_prior,2019,-250,28,13,15,0,-367.42,2800.0,-13.1,26,2,0,0,0
all_prior,2019,-300,26,14,12,0,-200.03,2600.0,-7.7,20,6,0,0,0
all_prior,2019,-350,18,7,11,0,-578.79,1800.0,-32.2,16,2,0,0,0
all_prior,2021,-200,39,21,18,0,119.53,3900.0,3.1,35,4,0,0,0
all_prior,2021,-250,35,19,16,0,6.96,3500.0,0.2,29,6,0,0,0
all_prior,2021,-300,22,11,11,0,-320.58,2200.0,-14.6,17,5,0,0,0
all_prior,2021,-350,19,9,10,0,-293.33,1900.0,-15.4,16,3,0,0,0
last_1_year,2009,-200,47,22,23,2,-439.38,4700.0,-9.3,33,14,0,1,0
last_1_year,2009,-250,43,20,21,2,-441.28,4300.0,-10.3,30,13,0,1,0
last_1_year,2009,-300,37,20,15,2,98.88,3700.0,2.7,24,13,0,1,0
last_1_year,2009,-350,37,20,15,2,-25.39,3700.0,-0.7,21,16,0,1,0
last_1_year,2010,-200,43,21,21,1,-248.38,4300.0,-5.8,31,12,0,0,0
last_1_year,2010,-250,36,17,19,0,-573.17,3600.0,-15.9,21,15,0,0,0
last_1_year,2010,-300,27,12,15,0,-577.17,2700.0,-21.4,16,11,0,0,0
last_1_year,2010,-350,23,11,12,0,-368.08,2300.0,-16.0,15,8,0,0,0
last_1_year,2011,-200,46,24,22,0,-43.2,4600.0,-0.9,30,16,0,0,0
last_1_year,2011,-250,39,20,19,0,-360.44,3900.0,-9.2,22,17,0,0,0
last_1_year,2011,-300,32,16,16,0,-462.49,3200.0,-14.5,18,14,0,0,0
last_1_year,2011,-350,32,16,16,0,-462.49,3200.0,-14.5,18,14,0,0,0
last_1_year,2012,-200,25,12,13,0,-216.39,2500.0,-8.7,19,6,0,2,0
last_1_year,2012,-250,21,11,10,0,-31.82,2100.0,-1.5,15,6,0,1,0
last_1_year,2012,-300,14,10,4,0,308.95,1400.0,22.1,7,7,0,1,0
last_1_year,2012,-350,10,9,1,0,459.39,1000.0,45.9,3,7,0,1,0
last_1_year,2013,-200,38,21,17,0,-28.98,3800.0,-0.8,28,10,0,0,0
last_1_year,2013,-250,33,17,16,0,-299.14,3300.0,-9.1,23,10,0,0,0
last_1_year,2013,-300,29,16,13,0,-56.28,2900.0,-1.9,19,10,0,0,0
last_1_year,2013,-350,23,12,11,0,-163.59,2300.0,-7.1,14,9,0,0,0
last_1_year,2014,-200,40,25,14,1,823.52,4000.0,20.6,30,10,0,0,0
last_1_year,2014,-250,27,19,7,1,693.02,2700.0,25.7,18,9,0,0,0
last_1_year,2014,-300,19,12,6,1,237.87,1900.0,12.5,13,6,0,0,0
last_1_year,2014,-350,19,12,6,1,237.87,1900.0,12.5,12,7,0,0,0
last_1_year,2015,-200,34,18,16,0,22.79,3400.0,0.7,30,4,0,0,0
last_1_year,2015,-250,28,15,13,0,-16.95,2800.0,-0.6,24,4,0,0,0
last_1_year,2015,-300,25,13,12,0,-381.33,2500.0,-15.3,16,9,0,0,0
last_1_year,2015,-350,21,10,11,0,-493.1,2100.0,-23.5,14,7,0,0,0
last_1_year,2016,-200,53,28,25,0,26.51,5300.0,0.5,38,15,0,0,0
last_1_year,2016,-250,48,27,21,0,368.37,4800.0,7.7,36,12,0,0,0
