WINDOW,YEAR,REGION,ROUND,TEAM_HIGH,SEED_HIGH,TEAM_LOW,SEED_LOW,PRED_WINNER,PRED_SEED,PROB_HIGH_WINS,IMPLIED_LINE,MODEL,CV_SCORE,N_TRAIN_YEARS
all_prior,2026,East,R64,Arizona,1,LIU Brooklyn,16,Arizona,1,0.882263485424644,-749,RandomForest,0.725,17
all_prior,2026,East,R64,Villanova,8,Utah St.,9,Villanova,8,0.6042799562947906,-153,RandomForest,0.725,17
all_prior,2026,East,R64,Wisconsin,5,High Point,12,Wisconsin,5,0.8218328430106072,-461,RandomForest,0.725,17
all_prior,2026,East,R64,Arkansas,4,Hawaii,13,Arkansas,4,0.8605551746604239,-617,RandomForest,0.725,17
all_prior,2026,East,R64,BYU,6,North Carolina St.,11,BYU,6,0.6266622517150577,-168,RandomForest,0.725,17
all_prior,2026,East,R64,Gonzaga,3,Kennesaw St.,14,Gonzaga,3,0.8127198689539461,-434,RandomForest,0.725,17
all_prior,2026,East,R64,Miami FL,7,Missouri,10,Miami FL,7,0.7830724709999156,-361,RandomForest,0.725,17
all_prior,2026,East,R64,Purdue,2,Queens,15,Purdue,2,0.9507345968044659,-1930,RandomForest,0.725,17
all_prior,2026,Midwest,R64,Duke,1,Siena,16,Duke,1,0.9447233699453471,-1709,RandomForest,0.725,17
all_prior,2026,Midwest,R64,Ohio St.,8,TCU,9,Ohio St.,8,0.5857771254099011,-141,RandomForest,0.725,17
all_prior,2026,Midwest,R64,St. John's,5,Northern Iowa,12,St. John's,5,0.8257288952580393,-474,RandomForest,0.725,17
all_prior,2026,Midwest,R64,Kansas,4,Cal Baptist,13,Kansas,4,0.9103391952276509,-1015,RandomForest,0.725,17
all_prior,2026,Midwest,R64,Louisville,6,South Florida,11,Louisville,6,0.6591356236972465,-193,RandomForest,0.725,17
all_prior,2026,Midwest,R64,Michigan St.,3,North Dakota St.,14,Michigan St.,3,0.9315045816250308,-1360,RandomForest,0.725,17
all_prior,2026,Midwest,R64,UCLA,7,UCF,10,UCLA,7,0.6737615861209935,-207,RandomForest,0.725,17
all_prior,2026,Midwest,R64,Connecticut,2,Furman,15,Connecticut,2,0.9739859233018451,-3744,RandomForest,0.725,17
all_prior,2026,South,R64,Michigan,1,Howard,16,Michigan,1,0.8909506010492234,-817,RandomForest,0.725,17
all_prior,2026,South,R64,Georgia,8,Saint Louis,9,Georgia,8,0.6247902031059116,-167,RandomForest,0.725,17
all_prior,2026,South,R64,Texas Tech,5,Akron,12,Texas Tech,5,0.7371641690452547,-280,RandomForest,0.725,17
all_prior,2026,South,R64,Alabama,4,Hofstra,13,Alabama,4,0.777643137151222,-350,RandomForest,0.725,17
all_prior,2026,South,R64,Tennessee,6,Miami OH,11,Tennessee,6,0.7080125320434558,-242,RandomForest,0.725,17
all_prior,2026,South,R64,Virginia,3,Wright St.,14,Virginia,3,0.96924280352248,-3151,RandomForest,0.725,17
all_prior,2026,South,R64,Kentucky,7,Santa Clara,10,Kentucky,7,0.5842927169973435,-141,RandomForest,0.725,17
all_prior,2026,South,R64,Iowa St.,2,Tennessee St.,15,Iowa St.,2,0.9598771799366882,-2392,RandomForest,0.725,17
all_prior,2026,West,R64,Florida,1,Lehigh,16,Florida,1,0.9468305795484429,-1781,RandomForest,0.725,17
all_prior,2026,West,R64,Clemson,8,Iowa,9,Iowa,9,0.38223787915446045,-162,RandomForest,0.725,17
all_prior,2026,West,R64,Vanderbilt,5,McNeese St.,12,Vanderbilt,5,0.802721988914699,-407,RandomForest,0.725,17
all_prior,2026,West,R64,Nebraska,4,Troy,13,Nebraska,4,0.8977479057835237,-878,RandomForest,0.725,17
