YEAR,GAME_TYPE,n,correct_pit,correct_agg,sum_sq_pit,sum_sq_agg,sum_ll_pit,sum_ll_agg
2018,conf,2910,2028,2198,569.7449464287439,480.1715838166282,1667.131598442118,1446.1267082452462
2018,conf_tourney,285,222,222,44.33798303949624,41.7640757700495,136.37136727388807,128.17688052846702
2018,nonconf,1948,1542,1619,277.43397716314206,238.93268021161313,847.0281016748573,744.4978736088041
2018,postseason,128,94,94,22.618560243165298,22.584312487044226,68.3884193584302,68.59785996214542
2019,conf,2952,2080,2239,565.8993134420427,483.27796098913404,1661.274859480521,1457.4983749079986
2019,conf_tourney,278,211,216,43.56459161818101,41.57694563332691,134.63371437505953,128.9256051205684
2019,nonconf,1964,1557,1598,288.65031662998723,246.88670433421797,875.0706384776905,763.5317835018816
2019,postseason,135,104,98,22.70013398847931,23.580144134110224,69.29017811187234,70.72859728051105
2020,conf,3006,2120,2275,588.1586827600635,495.80825490510136,1726.1179154373542,1499.5609218488178
2020,conf_tourney,147,99,112,31.565042865314176,24.4957338080244,91.65598719112512,73.8009323051667
2020,nonconf,1905,1457,1547,292.6198199576734,251.09052375589926,886.6223471718608,777.9897442420489
2021,conf,2545,1714,1878,518.5056805759953,435.9829918793848,1501.4018044873944,1305.0044945638208
2021,conf_tourney,266,178,195,55.80444469448371,45.78717171162993,161.20216916568873,136.89517706140643
2021,nonconf,838,656,690,122.58672679932347,101.15112132942576,370.0385448719275,313.04039445734537
2021,postseason,87,58,66,19.09796480018436,15.594100961452968,54.70698173074853,47.322089137912315
2022,conf,3014,2117,2296,586.0476453163812,487.5883295502007,1722.5653667360211,1478.4606910588052
2022,conf_tourney,282,208,232,52.140448708234516,40.52590707682201,154.59184178212763,126.62223481157235
2022,nonconf,1767,1348,1419,278.75412266730285,233.6941824082576,838.8487333609082,723.5404684662491
2022,postseason,128,88,96,26.27916914247554,21.915290889327885,76.41798823566404,66.44941378669463
2023,conf,3130,2175,2376,615.1442821275164,523.5084544827611,1800.0504248816721,1576.1260314768265
2023,conf_tourney,290,207,237,54.43951416323635,39.28411451731859,160.3525579382805,122.74936470386156
2023,nonconf,1916,1456,1534,314.84877830707575,270.561494344273,951.3741944117012,831.4139915795271
2023,postseason,110,67,78,26.54135245580921,21.898457397988942,76.22603802366123,66.31383151819054
2024,conf,3101,2125,2336,613.033720127489,515.2698922700356,1791.5504898969118,1551.515725996114
2024,conf_tourney,284,181,204,64.86968450245132,52.95912988563655,183.8709992114375,156.01471905053677
2024,nonconf,1952,1508,1562,313.5155915314766,266.53302978619985,952.5454403942214,820.9260052732433
2024,postseason,111,75,81,24.308563499696874,19.865074541761302,69.63749944563958,58.32964841093079
2025,conf,3323,2334,2538,637.860355950446,528.55250297178,1872.1831947460103,1601.6863378259834
2025,conf_tourney,300,216,232,55.863971143957684,45.988058790726534,165.82080006381221,141.51044611122634
2025,nonconf,1987,1517,1570,306.8536225703569,271.7705214300183,916.6090115311358,822.0850835663157
2025,postseason,123,89,100,24.17031803735501,17.91929862345896,70.92669007091159,55.35975019090885
2026,conf,3360,2312,2507,670.3874502533279,573.6238534437043,1953.9605457743905,1715.2453095822796
2026,conf_tourney,300,201,227,62.70610907596132,50.665942272631916,181.23031860703256,154.43533977613436
2026,nonconf,1987,1560,1656,285.18251074023124,233.38386938638385,865.2715742107382,726.4102859277174
2026,postseason,105,73,81,18.71483346677612,15.887768968684616,54.766961919036284,47.79644553108109
