YEAR,GAME_TYPE,n,correct,sum_sq,sum_ll
2011,conf,2843,2181,451.6562777988492,1370.2316659893356
2011,conf_tourney,274,206,44.49787217261975,133.3139457521063
2011,nonconf,2125,1734,268.9412873929952,831.5066958073731
2011,postseason,138,98,25.27077013279513,74.25610364293956
2012,conf,2837,2228,416.32420782661336,1278.856388588324
2012,conf_tourney,276,201,45.84810798985614,136.48839289305667
2012,nonconf,2139,1735,271.56328436871956,835.488284446964
2012,postseason,146,112,23.40407864840224,71.58292629241001
2013,conf,2947,2281,457.396908253356,1393.3805523782194
2013,conf_tourney,272,209,43.201099783662244,131.3375723440946
2013,nonconf,2096,1689,275.48874088529294,847.763311661248
2013,postseason,146,117,22.695951785021023,69.61815596780745
2014,conf,3005,2298,478.3392176064341,1449.8825755441555
2014,conf_tourney,286,226,43.89804464044657,133.4295841865098
2014,nonconf,2066,1696,262.13727946354834,816.1815445740357
2014,postseason,146,113,22.60564954463895,68.8974964734968
2015,conf,3064,2335,491.0481506800785,1485.3005085438654
2015,conf_tourney,283,211,44.34568857720738,132.87316309674037
2015,nonconf,2007,1626,261.87934668254843,804.1092043024123
2015,postseason,145,107,24.53701562167393,73.54208305488297
2016,conf,3081,2356,495.46016094124735,1506.3946342140855
2016,conf_tourney,288,226,43.38357070875492,134.10231886598598
2016,nonconf,2000,1655,245.25895783483716,765.7033915119715
2016,postseason,147,114,22.277776024919053,69.83931971631748
2017,conf,3070,2343,500.53305350740703,1521.0168125142227
2017,conf_tourney,294,233,43.27667615019696,133.42996050398702
2017,nonconf,2031,1650,259.75674556291114,800.6202272146221
2017,postseason,140,102,24.451272423969787,72.38014440929778
2018,conf,3064,2337,494.2891759627148,1496.459565929955
2018,conf_tourney,298,238,42.5723068461154,132.4453767212381
2018,nonconf,2044,1695,246.0469255882364,767.6610772812354
2018,postseason,134,105,20.656802101955417,63.91656458808733
2019,conf,3108,2368,509.748187181959,1535.6490933427576
2019,conf_tourney,292,236,41.49277140906181,129.7395155291771
2019,nonconf,2063,1695,255.41256880981945,791.2710660831467
2019,postseason,140,103,24.038901750067325,72.11219697097124
2020,conf,3168,2392,524.3502198125107,1581.1514086090913
2020,conf_tourney,159,121,25.883289530926987,78.64804183370008
2020,nonconf,2001,1629,258.24209877290366,803.2629485966514
2021,conf,2702,1996,461.4811760107539,1381.3315509762424
2021,conf_tourney,277,215,43.498407731900116,132.94431086588574
2021,nonconf,876,724,101.77862465452894,318.13366454341974
2021,postseason,89,68,14.58792177800035,44.07725308859722
2022,conf,3186,2434,512.3891260298894,1552.6299532019355
2022,conf_tourney,299,245,41.883584190582596,130.95587449664484
2022,nonconf,1860,1493,243.2519428215196,752.5487054710088
2022,postseason,130,98,20.843077241794845,63.20287876422038
2023,conf,3288,2493,541.48292626795,1636.3827190016464
2023,conf_tourney,305,254,39.08256525580057,124.1553100735871
2023,nonconf,2008,1610,276.27179318868394,853.4207902584028
2023,postseason,113,82,21.258444350331736,65.7323210405821
2024,conf,3259,2458,535.6030283183941,1611.7931962374735
2024,conf_tourney,302,221,53.08646924824049,158.5520348454384
2024,nonconf,2045,1639,277.23322915743245,853.3030379454119
2024,postseason,120,90,20.851745855057597,62.09399036250329
2025,conf,3343,2554,526.4279311778732,1596.4219080543176
2025,conf_tourney,300,235,44.38164420987104,137.36010876310613
2025,nonconf,1998,1589,271.8226729818465,822.0713053765172
2025,postseason,123,97,18.334777674101858,55.998390038146766
2026,conf,3360,2509,571.7581461986987,1709.8402072085541
2026,conf_tourney,300,224,52.352088401935994,157.83809434247107
2026,nonconf,1987,1655,231.4885945126567,721.4271601076392
2026,postseason,105,80,15.958648145391429,47.73134526300581
