group,bin_mid,n,sum_pred,sum_actual
all,0.025,1191,42.62227122261856,39.0
all,0.07500000000000001,2415,180.48752535973358,192.0
all,0.125,2454,308.4061121273401,282.0
all,0.17500000000000002,2479,435.02144761581394,408.0
all,0.225,2601,585.2397420322139,539.0
all,0.275,2705,745.105346150675,746.0
all,0.32500000000000007,3206,1046.9838407086838,1000.0
all,0.375,3356,1255.808604081222,1237.0
all,0.42500000000000004,2804,1192.208994332029,1142.0
all,0.475,3244,1542.0816557103894,1504.0
all,0.525,3492,1833.7348652999394,1803.0
all,0.5750000000000001,4062,2340.7171479527533,2279.0
all,0.625,4307,2689.54706852959,2668.0
all,0.675,4144,2799.242211100728,2759.0
all,0.7250000000000001,4842,3515.0399040601633,3467.0
all,0.775,5426,4204.208442514542,4189.0
all,0.8250000000000001,5698,4705.560630922169,4698.0
all,0.875,7283,6378.735195464819,6339.0
all,0.925,8454,7829.173407724005,7829.0
all,0.9750000000000001,12975,12711.702225575023,12667.0
home,0.025,1073,38.57218952364647,37.0
home,0.07500000000000001,2122,157.83681524029254,173.0
home,0.125,2099,263.39034508763234,243.0
home,0.17500000000000002,2022,354.48446971755243,343.0
home,0.225,2007,451.1230697928628,420.0
home,0.275,2158,594.7853422312633,589.0
home,0.32500000000000007,2734,893.8900257635789,848.0
home,0.375,2842,1062.5376907236116,1042.0
home,0.42500000000000004,2330,990.5768740705827,960.0
home,0.475,2847,1353.5975623651234,1309.0
home,0.525,3075,1614.9750414084165,1570.0
home,0.5750000000000001,3654,2105.7851831265752,2073.0
home,0.625,3881,2423.839520828218,2405.0
home,0.675,3688,2491.532461073529,2459.0
home,0.7250000000000001,4336,3148.002232200026,3103.0
home,0.775,4814,3729.998088531876,3708.0
home,0.8250000000000001,4895,4042.1433730798954,4022.0
home,0.875,6424,5626.6302839378195,5582.0
home,0.925,7639,7076.65643767263,7076.0
home,0.9750000000000001,12236,11990.79193817213,11958.0
neutral,0.025,118,4.050081698972082,2.0
neutral,0.07500000000000001,293,22.650710119441044,19.0
neutral,0.125,355,45.01576703970782,39.0
neutral,0.17500000000000002,457,80.53697789826144,65.0
neutral,0.225,594,134.11667223935115,119.0
neutral,0.275,547,150.32000391941176,157.0
neutral,0.32500000000000007,472,153.09381494510507,152.0
neutral,0.375,514,193.27091335761054,195.0
neutral,0.42500000000000004,474,201.63212026144623,182.0
neutral,0.475,397,188.48409334526616,195.0
neutral,0.525,417,218.759823891523,233.0
neutral,0.5750000000000001,408,234.9319648261782,206.0
neutral,0.625,426,265.7075477013719,263.0
neutral,0.675,456,307.70975002719985,300.0
neutral,0.7250000000000001,506,367.03767186013704,364.0
neutral,0.775,612,474.21035398266685,481.0
neutral,0.8250000000000001,803,663.4172578422746,676.0
neutral,0.875,859,752.1049115269993,757.0
neutral,0.925,815,752.5169700513751,753.0
neutral,0.9750000000000001,739,720.9102874028929,709.0
conf,0.025,858,30.888370536637616,29.0
conf,0.07500000000000001,1708,127.28869153656917,130.0
conf,0.125,1682,211.06779150712032,190.0
conf,0.17500000000000002,1539,269.51030713032094,245.0
conf,0.225,1442,324.4863307144862,286.0
conf,0.275,1573,433.82610952627545,417.0
conf,0.32500000000000007,2144,701.2997504231248,657.0
conf,0.375,2176,812.8822138312598,794.0
conf,0.42500000000000004,1655,703.7085019437163,668.0
conf,0.475,2120,1008.3811961714741,981.0
conf,0.525,2225,1167.9217845124585,1151.0
conf,0.5750000000000001,2736,1577.45726359937,1564.0
conf,0.625,2800,1747.0940807866305,1745.0
conf,0.675,2522,1703.95861386736,1656.0
conf,0.7250000000000001,2946,2138.859651402423,2127.0
conf,0.775,3281,2541.926697507067,2508.0
conf,0.8250000000000001,3123,2577.7615872904694,2544.0
conf,0.875,4126,3612.801253194103,3577.0
conf,0.925,4439,4109.789650695502,4096.0
conf,0.9750000000000001,4230,4120.743399336741,4095.0
conf_tourney,0.025,4,0.15993860523257397,0.0
conf_tourney,0.07500000000000001,24,1.8155567362850364,2.0
conf_tourney,0.125,47,6.042537036913704,6.0
conf_tourney,0.17500000000000002,106,18.672536342639745,10.0
conf_tourney,0.225,202,45.53699519445688,32.0
conf_tourney,0.275,211,58.145884618635876,56.0
conf_tourney,0.32500000000000007,161,52.265656151799035,44.0
conf_tourney,0.375,185,69.51805797446565,69.0
conf_tourney,0.42500000000000004,159,67.8717731622354,61.0
conf_tourney,0.475,148,70.23241560965485,75.0
conf_tourney,0.525,164,86.32141644530145,88.0
conf_tourney,0.5750000000000001,163,93.6827307195436,87.0
conf_tourney,0.625,207,129.08433594015852,130.0
conf_tourney,0.675,246,166.17833806764645,161.0
conf_tourney,0.7250000000000001,294,213.47829584184382,200.0
conf_tourney,0.775,368,284.95833271641766,292.0
conf_tourney,0.8250000000000001,452,373.02534603035207,385.0
conf_tourney,0.875,522,456.9186778434835,460.0
conf_tourney,0.925,494,456.82685725094643,462.0
conf_tourney,0.9750000000000001,348,338.5864804062746,344.0
nonconf,0.025,315,11.234418347101805,10.0
nonconf,0.07500000000000001,668,50.2094753531167,60.0
nonconf,0.125,699,87.88914668927275,85.0
nonconf,0.17500000000000002,793,139.61548545304504,148.0
nonconf,0.225,904,203.1967279034224,211.0
nonconf,0.275,868,238.6432904498475,265.0
nonconf,0.32500000000000007,829,270.3657959316581,281.0
nonconf,0.375,925,346.9561615790642,352.0
nonconf,0.42500000000000004,921,391.1389832677138,389.0
nonconf,0.475,910,432.1775421670992,422.0
nonconf,0.525,1006,528.7615224277205,508.0
nonconf,0.5750000000000001,1055,607.2838262150809,575.0
nonconf,0.625,1163,727.6983567148941,724.0
nonconf,0.675,1221,824.3524280974816,842.0
nonconf,0.7250000000000001,1432,1039.5152333433273,1027.0
