model,calibrated,bin,bin_mid,mean_pred,obs_freq,count
Bagging,isotonic,1,0.15000000000000002,0.19444444444444445,0.5,2
Bagging,isotonic,2,0.25,0.22115384615384615,0.0,1
Bagging,isotonic,3,0.35000000000000003,0.3495634181009848,0.4166666666666667,12
Bagging,isotonic,4,0.45,0.4499523752604916,0.38461538461538464,13
Bagging,isotonic,5,0.55,0.5568233466718261,0.6129032258064516,62
Bagging,isotonic,6,0.6500000000000001,0.654494432721985,0.6276276276276276,333
Bagging,isotonic,7,0.75,0.7455430573083569,0.7363636363636363,330
Bagging,isotonic,8,0.8500000000000001,0.842639221929544,0.8315217391304348,184
Bagging,isotonic,9,0.95,0.927934349869021,0.8823529411764706,51
Bagging,raw,0,0.05,0.05,0.0,2
Bagging,raw,1,0.15000000000000002,0.125,0.5,2
Bagging,raw,2,0.25,0.261904761904762,0.42857142857142855,21
Bagging,raw,3,0.35000000000000003,0.3499999999999999,0.5263157894736842,19
Bagging,raw,4,0.45,0.4267605633802816,0.5774647887323944,71
Bagging,raw,5,0.55,0.5550691244239631,0.6728110599078341,217
Bagging,raw,6,0.6500000000000001,0.673783783783784,0.654054054054054,185
Bagging,raw,7,0.75,0.75,0.7469879518072289,83
Bagging,raw,8,0.8500000000000001,0.8233146067415731,0.7471910112359551,178
Bagging,raw,9,0.95,0.9421428571428573,0.8380952380952381,210
HistGradientBoosting,isotonic,1,0.15000000000000002,0.186046511627907,0.0,1
HistGradientBoosting,isotonic,2,0.25,0.2867274569402229,0.0,1
HistGradientBoosting,isotonic,3,0.35000000000000003,0.3800602928509905,0.5,2
HistGradientBoosting,isotonic,4,0.45,0.4520673638705469,0.5,30
HistGradientBoosting,isotonic,5,0.55,0.5613018962983134,0.5051546391752577,97
HistGradientBoosting,isotonic,6,0.6500000000000001,0.6559832759389671,0.6381578947368421,304
HistGradientBoosting,isotonic,7,0.75,0.7441201395347314,0.7303370786516854,267
HistGradientBoosting,isotonic,8,0.8500000000000001,0.8466969976949232,0.8125,176
HistGradientBoosting,isotonic,9,0.95,0.9423083744137866,0.9272727272727272,110
HistGradientBoosting,raw,0,0.05,0.05703862965008708,0.4583333333333333,24
HistGradientBoosting,raw,1,0.15000000000000002,0.15916814809218202,0.375,16
HistGradientBoosting,raw,2,0.25,0.24349986807591525,0.5526315789473685,38
HistGradientBoosting,raw,3,0.35000000000000003,0.35512758712058096,0.5517241379310345,29
HistGradientBoosting,raw,4,0.45,0.444281679693023,0.7241379310344828,29
HistGradientBoosting,raw,5,0.55,0.5550832236785013,0.625,40
HistGradientBoosting,raw,6,0.6500000000000001,0.6484412462217942,0.6557377049180327,61
HistGradientBoosting,raw,7,0.75,0.7543481930999926,0.6756756756756757,74
HistGradientBoosting,raw,8,0.8500000000000001,0.8593878396210359,0.65625,128
HistGradientBoosting,raw,9,0.95,0.9755340852594322,0.7741347905282332,549
Logistic Regression,isotonic,2,0.25,0.22423315668993443,0.0,2
Logistic Regression,isotonic,3,0.35000000000000003,0.34904908710503113,0.5294117647058824,17
Logistic Regression,isotonic,4,0.45,0.4574235884574391,0.56,25
Logistic Regression,isotonic,5,0.55,0.5643647651475306,0.675,120
Logistic Regression,isotonic,6,0.6500000000000001,0.6574191677946828,0.6070175438596491,285
Logistic Regression,isotonic,7,0.75,0.7453182831285572,0.7463768115942029,276
Logistic Regression,isotonic,8,0.8500000000000001,0.853442991092126,0.7721518987341772,158
Logistic Regression,isotonic,9,0.95,0.9529691443451643,0.8952380952380953,105
Logistic Regression,raw,0,0.05,0.05543549787185814,0.625,16
Logistic Regression,raw,1,0.15000000000000002,0.1532037653485803,0.5217391304347826,23
Logistic Regression,raw,2,0.25,0.2473722265062286,0.5357142857142857,28
Logistic Regression,raw,3,0.35000000000000003,0.3520834038300616,0.5555555555555556,45
Logistic Regression,raw,4,0.45,0.46033461391838343,0.5873015873015873,63
Logistic Regression,raw,5,0.55,0.5553488444919189,0.6063829787234043,94
Logistic Regression,raw,6,0.6500000000000001,0.6560625344106512,0.6542056074766355,107
Logistic Regression,raw,7,0.75,0.7472614516121795,0.7154471544715447,123
Logistic Regression,raw,8,0.8500000000000001,0.8496578825822692,0.75,180
Logistic Regression,raw,9,0.95,0.9608030956842144,0.8090614886731392,309
MLP (neural net),isotonic,1,0.15000000000000002,0.14092789304987563,0.5,4
MLP (neural net),isotonic,2,0.25,0.2536080058088073,0.3333333333333333,3
MLP (neural net),isotonic,3,0.35000000000000003,0.36247785478476546,0.3333333333333333,15
MLP (neural net),isotonic,4,0.45,0.43194823914292446,0.6,10
MLP (neural net),isotonic,5,0.55,0.5695751868930384,0.6,70
MLP (neural net),isotonic,6,0.6500000000000001,0.6548138340614305,0.653125,320
MLP (neural net),isotonic,7,0.75,0.7428957025640351,0.7003154574132492,317
MLP (neural net),isotonic,8,0.8500000000000001,0.8467523445920193,0.8666666666666667,150
MLP (neural net),isotonic,9,0.95,0.9563833139705146,0.8282828282828283,99
MLP (neural net),raw,0,0.05,0.02175583989334398,0.5606060606060606,132
MLP (neural net),raw,1,0.15000000000000002,0.1370939708272139,0.6571428571428571,35
MLP (neural net),raw,2,0.25,0.24924633655783465,0.4,20
MLP (neural net),raw,3,0.35000000000000003,0.3403089384869417,0.6956521739130435,23
MLP (neural net),raw,4,0.45,0.44982598281786335,0.7647058823529411,17
MLP (neural net),raw,5,0.55,0.5460740011101295,0.6521739130434783,23
MLP (neural net),raw,6,0.6500000000000001,0.645835859860206,0.5333333333333333,30
MLP (neural net),raw,7,0.75,0.7514508556162464,0.7142857142857143,28
MLP (neural net),raw,8,0.8500000000000001,0.845306605127151,0.6923076923076923,39
MLP (neural net),raw,9,0.95,0.9907355486132533,0.7597503900156006,641
Random Forest,isotonic,0,0.05,0.031746031746031744,0.0,3
Random Forest,isotonic,1,0.15000000000000002,0.125,0.375,8
Random Forest,isotonic,2,0.25,0.25685501174006925,0.3333333333333333,6
Random Forest,isotonic,3,0.35000000000000003,0.3338298291239657,0.42105263157894735,19
Random Forest,isotonic,4,0.45,0.4471368994873857,0.4375,32
Random Forest,isotonic,5,0.55,0.554621437338912,0.6875,64
Random Forest,isotonic,6,0.6500000000000001,0.6555485276114801,0.6525974025974026,308
Random Forest,isotonic,7,0.75,0.7422376721620596,0.704119850187266,267
Random Forest,isotonic,8,0.8500000000000001,0.8506649638972777,0.8206896551724138,145
Random Forest,isotonic,9,0.95,0.9583861498277109,0.8823529411764706,136
Random Forest,raw,2,0.25,0.26166666666666666,0.0,6
Random Forest,raw,3,0.35000000000000003,0.36136363636363633,0.2727272727272727,11
Random Forest,raw,4,0.45,0.4519402985074627,0.5522388059701493,67
Random Forest,raw,5,0.55,0.5598648648648648,0.581081081081081,148
Random Forest,raw,6,0.6500000000000001,0.6522198275862069,0.6810344827586207,232
Random Forest,raw,7,0.75,0.749475982532751,0.6986899563318777,229
Random Forest,raw,8,0.8500000000000001,0.8506084656084656,0.8253968253968254,189
Random Forest,raw,9,0.95,0.9365566037735851,0.9339622641509434,106
SVM (RBF),isotonic,1,0.15000000000000002,0.14626690543943976,0.2,5
SVM (RBF),isotonic,2,0.25,0.24152970467968515,0.8333333333333334,6
SVM (RBF),isotonic,3,0.35000000000000003,0.36836232193946966,0.2857142857142857,7
SVM (RBF),isotonic,4,0.45,0.4627792439654263,0.5,34
SVM (RBF),isotonic,5,0.55,0.5627258764971167,0.6746987951807228,83
SVM (RBF),isotonic,6,0.6500000000000001,0.6550189678917765,0.6300813008130082,246
SVM (RBF),isotonic,7,0.75,0.7467032873552137,0.7018633540372671,322
SVM (RBF),isotonic,8,0.8500000000000001,0.8428791331841534,0.8177570093457944,214
SVM (RBF),isotonic,9,0.95,0.9459825943179643,0.8732394366197183,71
SVM (RBF),raw,2,0.25,0.2905010017126162,0.25,4
SVM (RBF),raw,3,0.35000000000000003,0.36590229082240167,0.18181818181818182,11
SVM (RBF),raw,4,0.45,0.460168653902284,0.5882352941176471,17
SVM (RBF),raw,5,0.55,0.5572437027219922,0.5531914893617021,94
SVM (RBF),raw,6,0.6500000000000001,0.6561941950528442,0.6648648648648648,185
SVM (RBF),raw,7,0.75,0.7549653768474265,0.7184466019417476,412
SVM (RBF),raw,8,0.8500000000000001,0.8328368578653483,0.8064516129032258,248
SVM (RBF),raw,9,0.95,0.9177752883172308,0.8823529411764706,17
