YEAR,DATE,AWAY,HOME,NEUTRAL,ML_AWAY,ML_HOME,AWAY_KEY,HOME_KEY
2008,2007-11-05,Maine,Richmond,True,200,-240,maine,richmond
2008,2007-11-05,TennMartin,MemphisU,False,13000,-39000,tennmartin,memphis
2008,2007-11-06,GardnerWebb,AlabamaA&M,True,-160,140,gardnerwebb,alabamaaandm
2008,2007-11-06,CentralArkansas,Kentucky,False,3000,-7000,centralarkansas,kentucky
2008,2007-11-06,Maine,TennMartin,True,105,-125,maine,tennmartin
2008,2007-11-06,Richmond,MemphisU,False,4000,-10000,richmond,memphis
2008,2007-11-07,OhioValley,Buffalo,True,3000,-7000,ohiovalley,buffalo
2008,2007-11-07,AlabamaA&M,CentralArkansas,True,140,-160,alabamaaandm,centralarkansas
2008,2007-11-07,GardnerWebb,Kentucky,False,3000,-7000,gardnerwebb,kentucky
2008,2007-11-08,OhioValley,MorganState,True,600,-900,ohiovalley,morganstate
2008,2007-11-08,Buffalo,Connecticut,False,1500,-3000,buffalo,connecticut
2008,2007-11-08,ECentralOklahoma,DenverU,True,325,-400,ecentraloklahoma,denver
2008,2007-11-08,SanFrancisco,Oklahoma,False,1420,-2600,sanfrancisco,oklahoma
2008,2007-11-09,NewMexicoState,Ohio,False,158,-180,newmexicostate,ohio
2008,2007-11-09,Fordham,Columbia,False,-230,190,fordham,columbia
2008,2007-11-09,Drexel,Pennsylvania,False,-150,130,drexel,penn
2008,2007-11-09,Butler,BallState,False,-620,460,butler,ballstate
2008,2007-11-09,FlaAtlantic,RhodeIsland,False,850,-1300,flaatlantic,rhodeisland
2008,2007-11-09,ClevelandState,SouthFlorida,False,280,-340,clevelandstate,southflorida
2008,2007-11-09,Brown,EasternMichigan,False,195,-235,brown,easternmichigan
2008,2007-11-09,Temple,Tennessee,False,1315,-2200,temple,tennessee
2008,2007-11-09,Depaul,Creighton,False,135,-155,depaul,creighton
2008,2007-11-09,Troy,Alabama,False,1250,-2000,troy,alabama
2008,2007-11-09,NewMexico,Colorado,False,-120,100,newmexico,colorado
2008,2007-11-09,Auburn,Tulane,False,125,-145,auburn,tulane
2008,2007-11-09,LoyolaMarymount,CalIrvine,False,400,-500,loyolamarymount,ucirvine
2008,2007-11-09,SanDiego,Hawaii,False,333,-415,sandiego,hawaii
