model,calibrated,bin,bin_mid,mean_pred,obs_freq,count
Full game log (~90k),isotonic,1,0.15000000000000002,0.1893351057921664,0.0,2
Full game log (~90k),isotonic,2,0.25,0.2652765269993814,0.0,26
Full game log (~90k),isotonic,3,0.35000000000000003,0.35511207395895944,0.23076923076923078,65
Full game log (~90k),isotonic,4,0.45,0.44956465885940516,0.3684210526315789,76
Full game log (~90k),isotonic,5,0.55,0.5573630833299732,0.42857142857142855,112
Full game log (~90k),isotonic,6,0.6500000000000001,0.6512962790297027,0.7213114754098361,122
Full game log (~90k),isotonic,7,0.75,0.7505545633018554,0.7916666666666666,120
Full game log (~90k),isotonic,8,0.8500000000000001,0.8522074321329239,0.9009433962264151,212
Full game log (~90k),isotonic,9,0.95,0.956672153801081,0.9478260869565217,230
Full game log (~90k),raw,1,0.15000000000000002,0.16996439582987685,0.0,6
Full game log (~90k),raw,2,0.25,0.25698371526744634,0.07142857142857142,42
Full game log (~90k),raw,3,0.35000000000000003,0.3485784063366857,0.30158730158730157,63
Full game log (~90k),raw,4,0.45,0.44978149329576295,0.3484848484848485,66
Full game log (~90k),raw,5,0.55,0.5506718523446652,0.5222222222222223,90
Full game log (~90k),raw,6,0.6500000000000001,0.6490863531828449,0.5454545454545454,110
Full game log (~90k),raw,7,0.75,0.748425534801325,0.8412698412698413,126
Full game log (~90k),raw,8,0.8500000000000001,0.8498711531994256,0.8914027149321267,221
Full game log (~90k),raw,9,0.95,0.9581453992855299,0.946058091286307,241
Tournament-only (~1k),isotonic,0,0.05,0.04125890066558237,0.0625,64
Tournament-only (~1k),isotonic,1,0.15000000000000002,0.15214270866630825,0.058823529411764705,51
Tournament-only (~1k),isotonic,2,0.25,0.24966798288692787,0.09090909090909091,33
Tournament-only (~1k),isotonic,3,0.35000000000000003,0.3511278908402518,0.3333333333333333,30
Tournament-only (~1k),isotonic,4,0.45,0.45721957409989716,0.5789473684210527,38
Tournament-only (~1k),isotonic,5,0.55,0.5448829646817369,0.48717948717948717,39
Tournament-only (~1k),isotonic,6,0.6500000000000001,0.6553054276483651,0.5737704918032787,61
Tournament-only (~1k),isotonic,7,0.75,0.7531028598139414,0.8024691358024691,81
Tournament-only (~1k),isotonic,8,0.8500000000000001,0.8535669065948555,0.8106060606060606,132
Tournament-only (~1k),isotonic,9,0.95,0.9653807357835067,0.9518348623853211,436
Tournament-only (~1k),raw,0,0.05,0.03369821595622432,0.08088235294117647,136
Tournament-only (~1k),raw,1,0.15000000000000002,0.1463615621888729,0.125,24
Tournament-only (~1k),raw,2,0.25,0.24669212955881736,0.43478260869565216,23
Tournament-only (~1k),raw,3,0.35000000000000003,0.35033550700197913,0.3448275862068966,29
Tournament-only (~1k),raw,4,0.45,0.4686182939824991,0.4,15
Tournament-only (~1k),raw,5,0.55,0.5391979207153166,0.5333333333333333,15
Tournament-only (~1k),raw,6,0.6500000000000001,0.6517478784353097,0.5833333333333334,24
Tournament-only (~1k),raw,7,0.75,0.7553463113013454,0.5217391304347826,23
Tournament-only (~1k),raw,8,0.8500000000000001,0.86211029395347,0.7192982456140351,57
Tournament-only (~1k),raw,9,0.95,0.986401315277318,0.9176090468497576,619
