window,test_year,train_years,model,cv_score,round,cascade_correct,cascade_total,cascade_accuracy,indep_correct,indep_total,indep_accuracy
all_prior,2009,[np.int64(2008)],BaggingClassifier,0.8256410256410256,R64,22,32,0.6875,22,32,0.6875
all_prior,2009,[np.int64(2008)],BaggingClassifier,0.8256410256410256,R32,6,7,0.8571428571428571,14,16,0.875
all_prior,2009,[np.int64(2008)],BaggingClassifier,0.8256410256410256,S16,2,5,0.4,4,8,0.5
all_prior,2009,[np.int64(2008)],BaggingClassifier,0.8256410256410256,E8,0,0,,1,4,0.25
all_prior,2009,[np.int64(2008)],BaggingClassifier,0.8256410256410256,F4,0,0,,2,2,1.0
all_prior,2009,[np.int64(2008)],BaggingClassifier,0.8256410256410256,Championship,0,0,,1,1,1.0
all_prior,2010,"[np.int64(2008), np.int64(2009)]",RandomForest,0.7852307692307692,R64,22,32,0.6875,22,32,0.6875
all_prior,2010,"[np.int64(2008), np.int64(2009)]",RandomForest,0.7852307692307692,R32,5,7,0.7142857142857143,11,16,0.6875
all_prior,2010,"[np.int64(2008), np.int64(2009)]",RandomForest,0.7852307692307692,S16,2,2,1.0,6,8,0.75
all_prior,2010,"[np.int64(2008), np.int64(2009)]",RandomForest,0.7852307692307692,E8,1,1,1.0,3,4,0.75
all_prior,2010,"[np.int64(2008), np.int64(2009)]",RandomForest,0.7852307692307692,F4,0,0,,1,1,1.0
all_prior,2010,"[np.int64(2008), np.int64(2009)]",RandomForest,0.7852307692307692,Championship,0,0,,0,0,
all_prior,2011,"[np.int64(2008), np.int64(2009), np.int64(2010)]",RandomForest,0.7382645803698435,R64,25,32,0.78125,25,32,0.78125
all_prior,2011,"[np.int64(2008), np.int64(2009), np.int64(2010)]",RandomForest,0.7382645803698435,R32,7,9,0.7777777777777778,11,16,0.6875
all_prior,2011,"[np.int64(2008), np.int64(2009), np.int64(2010)]",RandomForest,0.7382645803698435,S16,0,3,0.0,2,8,0.25
all_prior,2011,"[np.int64(2008), np.int64(2009), np.int64(2010)]",RandomForest,0.7382645803698435,E8,0,0,,1,4,0.25
all_prior,2011,"[np.int64(2008), np.int64(2009), np.int64(2010)]",RandomForest,0.7382645803698435,F4,0,0,,1,1,1.0
all_prior,2011,"[np.int64(2008), np.int64(2009), np.int64(2010)]",RandomForest,0.7382645803698435,Championship,0,0,,0,0,
all_prior,2012,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011)]",RandomForest,0.713469387755102,R64,21,32,0.65625,21,32,0.65625
all_prior,2012,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011)]",RandomForest,0.713469387755102,R32,4,7,0.5714285714285714,13,16,0.8125
all_prior,2012,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011)]",RandomForest,0.713469387755102,S16,2,2,1.0,6,8,0.75
all_prior,2012,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011)]",RandomForest,0.713469387755102,E8,1,2,0.5,2,4,0.5
all_prior,2012,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011)]",RandomForest,0.713469387755102,F4,1,1,1.0,2,2,1.0
all_prior,2012,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011)]",RandomForest,0.713469387755102,Championship,0,0,,1,1,1.0
all_prior,2013,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012)]",RandomForest,0.7362007168458782,R64,22,32,0.6875,22,32,0.6875
all_prior,2013,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012)]",RandomForest,0.7362007168458782,R32,7,7,1.0,12,16,0.75
all_prior,2013,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012)]",RandomForest,0.7362007168458782,S16,1,5,0.2,4,8,0.5
all_prior,2013,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012)]",RandomForest,0.7362007168458782,E8,0,0,,2,4,0.5
all_prior,2013,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012)]",RandomForest,0.7362007168458782,F4,0,0,,1,1,1.0
all_prior,2013,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012)]",RandomForest,0.7362007168458782,Championship,0,0,,0,0,
all_prior,2014,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013)]",RandomForest,0.7257297297297297,R64,25,32,0.78125,25,32,0.78125
all_prior,2014,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013)]",RandomForest,0.7257297297297297,R32,6,9,0.6666666666666666,11,16,0.6875
all_prior,2014,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013)]",RandomForest,0.7257297297297297,S16,2,3,0.6666666666666666,5,8,0.625
all_prior,2014,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013)]",RandomForest,0.7257297297297297,E8,0,1,0.0,1,4,0.25
all_prior,2014,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013)]",RandomForest,0.7257297297297297,F4,0,0,,0,1,0.0
all_prior,2014,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013)]",RandomForest,0.7257297297297297,Championship,0,0,,0,0,
all_prior,2015,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014)]",RandomForest,0.718230419673884,R64,27,32,0.84375,27,32,0.84375
all_prior,2015,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014)]",RandomForest,0.718230419673884,R32,9,12,0.75,13,16,0.8125
all_prior,2015,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014)]",RandomForest,0.718230419673884,S16,3,3,1.0,7,8,0.875
all_prior,2015,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014)]",RandomForest,0.718230419673884,E8,2,2,1.0,3,4,0.75
all_prior,2015,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014)]",RandomForest,0.718230419673884,F4,1,1,1.0,1,1,1.0
all_prior,2015,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014)]",RandomForest,0.718230419673884,Championship,0,0,,0,0,
all_prior,2016,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014), np.int64(2015)]",RandomForest,0.7449598021026592,R64,21,32,0.65625,21,32,0.65625
all_prior,2016,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014), np.int64(2015)]",RandomForest,0.7449598021026592,R32,5,6,0.8333333333333334,14,16,0.875
all_prior,2016,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014), np.int64(2015)]",RandomForest,0.7449598021026592,S16,3,3,1.0,7,8,0.875
all_prior,2016,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014), np.int64(2015)]",RandomForest,0.7449598021026592,E8,1,2,0.5,2,4,0.5
all_prior,2016,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014), np.int64(2015)]",RandomForest,0.7449598021026592,F4,0,0,,0,1,0.0
all_prior,2016,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014), np.int64(2015)]",RandomForest,0.7449598021026592,Championship,0,0,,0,0,
all_prior,2017,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014), np.int64(2015), np.int64(2016)]",RandomForest,0.745945945945946,R64,29,32,0.90625,29,32,0.90625
all_prior,2017,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014), np.int64(2015), np.int64(2016)]",RandomForest,0.745945945945946,R32,8,13,0.6153846153846154,11,16,0.6875
all_prior,2017,"[np.int64(2008), np.int64(2009), np.int64(2010), np.int64(2011), np.int64(2012), np.int64(2013), np.int64(2014), np.int64(2015), np.int64(2016)]",RandomForest,0.745945945945946,S16,4,4,1.0,5,8,0.625
